date,time,sec_dur
"12-28-15  ","10:29     ",712
"12-28-15  ","10:29     ",210
"12-28-15  ","10:29     ",608
"12-28-15  ","10:29     ",1059
"12-28-15  ","10:30     ",107
"12-28-15  ","10:30     ",437
"12-28-15  ","10:30     ",56
"12-28-15  ","10:30     ",886
"12-28-15  ","10:30     ",1937
"12-28-15  ","10:30     ",645
"12-28-15  ","10:30     ",616
"12-28-15  ","10:30     ",162
"12-28-15  ","10:30     ",141
"12-28-15  ","10:30     ",570
"12-28-15  ","10:30     ",417
"12-28-15  ","10:30     ",284
"12-28-15  ","10:31     ",1297
"12-28-15  ","10:31     ",1142
"12-28-15  ","10:31     ",307
"12-28-15  ","10:31     ",53
"12-28-15  ","10:31     ",149
"12-28-15  ","10:31     ",319
"12-28-15  ","10:31     ",676
"12-28-15  ","10:31     ",39
"12-28-15  ","10:31     ",719
"12-28-15  ","10:31     ",380
"12-28-15  ","10:31     ",758
"12-28-15  ","10:31     ",1320
"12-28-15  ","10:32     ",444
"12-28-15  ","10:32     ",372
"12-28-15  ","10:32     ",90
"12-28-15  ","10:32     ",687
"12-28-15  ","10:32     ",244
"12-28-15  ","10:32     ",596
"12-28-15  ","10:32     ",85
"12-28-15  ","10:32     ",350
"12-28-15  ","10:32     ",262
"12-28-15  ","10:32     ",50
"12-28-15  ","10:32     ",1024
"12-28-15  ","10:33     ",90
"12-28-15  ","10:33     ",574
"12-28-15  ","10:33     ",68
"12-28-15  ","10:33     ",627
"12-28-15  ","10:33     ",102
"12-28-15  ","10:33     ",17
"12-28-15  ","10:33     ",193
"12-28-15  ","10:34     ",1385
"12-28-15  ","10:34     ",2
"12-28-15  ","10:34     ",4
"12-28-15  ","10:34     ",1285
"12-28-15  ","10:34     ",139
"12-28-15  ","10:34     ",286
"12-28-15  ","10:34     ",893
"12-28-15  ","10:34     ",781
"12-28-15  ","10:34     ",30
"12-28-15  ","10:34     ",1037
"12-28-15  ","10:35     ",46
"12-28-15  ","10:35     ",419
"12-28-15  ","10:35     ",1813
"12-28-15  ","10:35     ",140
"12-28-15  ","10:35     ",187
"12-28-15  ","10:35     ",210
"12-28-15  ","10:35     ",140
"12-28-15  ","10:36     ",17
"12-28-15  ","10:36     ",140
"12-28-15  ","10:36     ",145
"12-28-15  ","10:36     ",87
"12-28-15  ","10:36     ",365
"12-28-15  ","10:36     ",370
"12-28-15  ","10:36     ",1054
"12-28-15  ","10:36     ",199
"12-28-15  ","10:36     ",674
"12-28-15  ","10:36     ",721
"12-28-15  ","10:37     ",517
"12-28-15  ","10:37     ",228
"12-28-15  ","10:37     ",8
"12-28-15  ","10:37     ",211
"12-28-15  ","10:37     ",20
"12-28-15  ","10:37     ",1513
"12-28-15  ","10:37     ",141
"12-28-15  ","10:37     ",236
"12-28-15  ","10:38     ",90
"12-28-15  ","10:38     ",351
"12-28-15  ","10:38     ",141
"12-28-15  ","10:38     ",631
"12-28-15  ","10:38     ",604
"12-28-15  ","10:38     ",406
"12-28-15  ","10:38     ",141
"12-28-15  ","10:38     ",6
"12-28-15  ","10:39     ",1098
"12-28-15  ","10:39     ",743
"12-28-15  ","10:39     ",320
"12-28-15  ","10:39     ",615
"12-28-15  ","10:39     ",141
"12-28-15  ","10:39     ",129
"12-28-15  ","10:39     ",228
"12-28-15  ","10:39     ",5
"12-28-15  ","10:39     ",271
"12-28-15  ","10:40     ",1420
"12-28-15  ","10:40     ",141
"12-28-15  ","10:40     ",46
"12-28-15  ","10:40     ",668
"12-28-15  ","10:40     ",230
"12-28-15  ","10:40     ",120
"12-28-15  ","10:40     ",129
"12-28-15  ","10:40     ",34
"12-28-15  ","10:40     ",3
